START_DATE,START_TIME,START_TIME_ET,SUBJECT
7/4/13,7:00 AM,12:00 PM,Race
7/4/13,7:00 AM,9:00 PM,Jul 4 celebration
7/5/13,7:15 PM,10:15 PM,Dodgers at Giants
7/6/13,4:15 PM,7:15 PM,Dodgers at Giants
7/7/13,7:00 AM,12:00 PM,Race
7/7/13,1:05 PM,4:05 PM,Dodgers at Giants
7/8/13,7:15 PM,10:15 PM,Mets at Giants
7/9/13,7:15 PM,10:15 PM,Mets at Giants
7/10/13,12:45 PM,3:45 PM,Mets at Giants
7/19/13,7:15 PM,10:15 PM,D-backs at Giants
7/20/13,6:05 PM,9:05 PM,D-backs at Giants
7/21/13,1:05 PM,4:05 PM,D-backs at Giants
7/22/13,7:15 PM,10:15 PM,Reds at Giants
7/23/13,3:33 AM,3:33 AM,Giants at Reds
7/23/13,4:05 PM,7:05 PM,Reds at Giants
7/24/13,7:15 PM,10:15 PM,Reds at Giants
7/26/13,8:00 PM,10:00 PM,Concert
7/26/13,7:15 PM,10:15 PM,Cubs at Giants
7/27/13,6:05 PM,9:05 PM,Cubs at Giants
7/28/13,1:05 PM,4:05 PM,Cubs at Giants
8/2/13,7:30 PM,9:30 PM,Concert
8/3/13,7:30 PM,9:30 PM,Concert
8/4/13,7:00 AM,12:00 PM,Race
8/4/13,7:30 PM,9:30 PM,Concert
8/5/13,7:15 PM,10:15 PM,Brewers at Giants
8/6/13,7:15 PM,10:15 PM,Brewers at Giants
8/7/13,7:15 PM,10:15 PM,Brewers at Giants
8/8/13,12:45 PM,3:45 PM,Brewers at Giants
8/9/13,7:15 PM,10:15 PM,Orioles at Giants
8/10/13,1:05 PM,4:05 PM,Orioles at Giants
8/11/13,1:05 PM,4:05 PM,Orioles at Giants
8/19/13,7:15 PM,10:15 PM,Red Sox at Giants
8/20/13,7:15 PM,10:15 PM,Red Sox at Giants
8/21/13,12:45 PM,3:45 PM,Red Sox at Giants
8/22/13,7:15 PM,10:15 PM,Pirates at Giants
8/23/13,7:15 PM,10:15 PM,Pirates at Giants
8/24/13,6:05 PM,9:05 PM,Pirates at Giants
8/25/13,1:05 PM,4:05 PM,Pirates at Giants
